Announce Date,Acquirer Ticker,Target Ticker,Deal Description
2017-02-01,OKE US,OKS US,"On 02/01/2017, ONEOK INC announced that the company had reached an agreement for the purchase of all remaining shares not already owned in ONEOK Partners LP. The purchase price was USD 17,378.16M. The combined entity will have a greater financial strength and lower funding costs, and intends ..."
2021-04-12,MSFT US,NUAN US,Microsoft Corp acquired Nuance Communications Inc for USD 17241.47M. The transaction was announced on 4/12/2021 and completed on 3/7/2022.
2015-02-05,PFE US,HSP US,"Pfizer Inc announced the acquisition of Hospira Inc for USD 16,807.25M. The transaction was announced on 02/05/2015 and was completed on 09/03/2015. At the time of announcement, this is Pfizer's fifth largest acquisition on record, and was announced less than a year after the termination of t..."
2005-02-28,M US,987200Q US,Macy's Inc acquired May Department Stores Co/The for USD 16567.98M. The transaction was announced on 2/28/2005 and completed on 8/30/2005.
2006-12-04,BK US,MEL US,Bank of New York Mellon Corp/The acquired Mellon Financial Corp for USD 16482.94M. The transaction was announced on 12/4/2006 and completed on 7/2/2007.
2011-01-31,PLD US,8394653Q US,Prologis Inc acquired AMB Property Corp for USD 16475.28M. The transaction was announced on 01/31/2011 and completed on 06/03/2011. The combined portfolio encompasses approximately 600 million square feet of modern distribution facilities located in 22 countries.
2021-04-29,O US,VER US,Realty Income Corp acquired VEREIT Inc for USD 16394.41M. The transaction was announced on 4/29/2021 and completed on 11/1/2021.
2000-03-29,3153670Q US,0872237D US,Veritas Software Corp acquired Veritas Software Technology Corp for USD 16292.56M. The transaction was announced on 3/29/2000 and completed on 11/22/2000.
2022-11-01,JNJ US,ABMD US,Johnson & Johnson acquired ABIOMED Inc for USD 16270.94M. The transaction was announced on 11/1/2022 and completed on 12/23/2022.
2006-09-15,,8222737Q US,A consortium led by Carlyle Group Inc/The acquired NXP USA Inc for USD 16222.22M. The transaction was announced on 9/15/2006 and completed on 12/4/2006.
2003-11-17,TRV US,531621Q US,Travelers Cos Inc/The acquired Travelers Property Casualty Corp for USD 16221.90M. The transaction was announced on 11/17/2003 and completed on 4/2/2004.
2000-03-07,VRSN US,44639Q US,VeriSign Inc acquired Verisign Ventures Inc for USD 16142.92M. The transaction was announced on 3/7/2000 and completed on 6/9/2000.
2006-01-23,,1312089D US,"SUPERVALU Inc, CVS, and a consortium led by Cerberus Capital Management acquired Albertsons LLC for USD 16,118.62M. The transaction was announced on 01/23/2006 and completed on 06/02/2006."
1999-06-07,HON US,2755Q US,Honeywell International Inc acquired Honeywell Inc for USD 16104.72M. The transaction was announced on 6/7/1999 and completed on 12/2/1999.
2021-08-04,VICI US,MGP US,VICI Properties Inc acquired MGM Growth Properties LLC for USD 15516.32M. The transaction was announced on 8/4/2021 and completed on 4/29/2022.
2022-03-29,,NLSN US,A consortium led by Elliott Management Corp acquired Nielsen Holdings PLC for USD 15491.58M. The transaction was announced on 3/29/2022 and completed on 10/12/2022.
2013-04-15,TMO US,1255459D US,"Thermo Fisher Scientific Inc announced the acquisition of Life Technologies Corp for USD 15,402.34M. The transaction was announced on 04/15/2013 and completed on 02/04/2014. The acquisition of Life Technologies Corp complements both companies’ technological strengths and creates an unrivale..."
1999-03-15,FBF US,BKB US,FleetBoston Financial Corp acquired BankBoston Corp for USD 15282.00M. The transaction was announced on 3/15/1999 and completed on 10/1/1999.
2015-11-16,MAR US,HOT US,"Marriott announced on 03/21/2016 an amended takeover proposal, following the announcement of a competing bid on 03/14/2016. On 11/16/2015, Marriott International Inc announced the acquisition of Starwood Hotels & Resorts Worldwide for USD 13,453.04M, Marriott's largest acquisition on record a..."
2015-08-26,SLB US,CAM US,"On 08/26/2015, Schlumberger Ltd and Cameron International Corp announced a definitive merger agreement, Cameron shareholders will receive USD 14.44 cash and 0.716 Schlumberger common stock for each Cameron share,  resulting in a USD 15,152.81M transaction value. The transaction is the 5th lar..."
2000-01-18,1996074D US,CGP US,El Paso LLC acquired El Paso CGP Co LLC for USD 15075.67M. The transaction was announced on 1/18/2000 and completed on 1/30/2001.
2017-07-31,WBD US,2558202D US,"On 03/07/2018, Discovery Communications Inc completed the acquisition of Scripps Networks Interactive Inc for USD 15,033.76M, in a cash-and-stock transaction. The transaction was announced on 07/31/2017. On 07/26/2017, WSJ reported that Viacom had dropped out of the bidding to buy Scripps. On..."
